Investigation_number,Investigation_title,country,Date Instituted,Staff Conference,Preliminary Determination,pub_no,hearing_date,Final Determination,pub_no
731-TA-1510,Prestressed Concrete Steel Wire Strand,South Africa,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1511,Prestressed Concrete Steel Wire Strand,Spain,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1512,Prestressed Concrete Steel Wire Strand,Taiwan,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1513,Prestressed Concrete Steel Wire Strand,Tunisia,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1514,Prestressed Concrete Steel Wire Strand,Turkey,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1515,Prestressed Concrete Steel Wire Strand,Ukraine,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1516,Prestressed Concrete Steel Wire Strand,United Arab Emirates,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
701-TA-647,Passenger Vehicle and Light Truck Tires,Vietnam,05-13-20,Via written submitions,Affirmative,N/A,N/A,N/A,N/A
731-TA-1517,Passenger Vehicle and Light Truck Tires,Korea,05-13-20,Via written submitions,Affirmative,N/A,N/A,N/A,N/A
731-TA-1518,Passenger Vehicle and Light Truck Tires,Taiwan,05-13-20,Via written submitions,Affirmative,N/A,N/A,N/A,N/A
731-TA-1519,Passenger Vehicle and Light Truck Tires,Thailand,05-13-20,Via written submitions,Affirmative,N/A,N/A,N/A,N/A
731-TA-1520,Passenger Vehicle and Light Truck Tires,Vietnam,05-13-20,Via written submitions,Affirmative,N/A,N/A,N/A,N/A
701-TA-648,Walk-Behind Lawn Mowers,China,05-27-20,Via written submitions,Affirmative,N/A,N/A,N/A,N/A
731-TA-1521,Walk-Behind Lawn Mowers,China,05-27-20,Via written submitions,Affirmative,N/A,N/A,N/A,N/A
731-TA-1522,Walk-Behind Lawn Mowers,Vietnam,05-27-20,Via written submitions,Affirmative,N/A,N/A,N/A,N/A
701-TA-649,Twist Ties,China,06-29-20,07-17-20,Affirmative,5104,N/A,N/A,N/A
731-TA-1523,Twist Ties,China,06-29-20,07-17-20,Affirmative,5104,N/A,N/A,N/A
